FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
42385,22992,65377,1,1,265038,15607.0,34618,1192.0,223.29,0.75,0.03,0.22,0.496,0.504,128,25110.0,0.09434033152492448,10.4,5.0,80600,22627,94724,46933,20154,1,0.25,67087,189448,265038,0.24667028878877745,0.6483166862964039
2015,1852,3867,1,1,13617,13740.0,23114,722.8,18.81,0.5959595959595959,0.0,0.4040404040404041,0.491,0.509,22,2427.0,0.17852151526296434,24.8,7.0,4285,1861,4092,2114,1265,2,0.4,3379,8184,13617,0.28398325622383785,0.5210757693302301
51959,48406,100365,1,1,391511,24187.0,44874,803.2,490.34,0.8500000000000001,0.060000000000000005,0.09000000000000001,0.488,0.512,180,58252.0,0.14790853091880418,5.9,3.0,111243,29574,150740,70783,29171,1,0.15,99954,301480,391511,0.2563529504918125,0.5177003935634933
957,856,1813,1,1,5345,12816.0,27359,1349.4,3.99,0.74,0.0,0.26,0.51,0.49,14,1151.0,0.21382128924391602,16.9,5.0,1647,229,1670,1178,621,2,0.26,1799,3340,5345,0.3391955098222638,0.5278543849972421
942,1129,2071,0,1,4556,19017.0,23054,2555.9,1.77,0.93,0.0,0.07,0.495,0.505,23,982.0,0.21730471343217525,19.0,1.0,1192,220,1231,973,940,2,0.07,1913,2462,4556,0.45456540825285335,0.45485272815065186
905,646,1551,1,1,5048,13742.0,22325,1514.0,3.32,0.71,0.01,0.28,0.52,0.48,14,797.0,0.15863853503184713,20.4,3.0,1401,221,1346,1127,953,2,0.29,2080,2692,5048,0.30725039619651345,0.5834945196647324
40479,39515,79994,1,1,225339,21782.0,43782,742.5,304.5,0.8910891089108911,0.009900990099009901,0.09900990099009901,0.501,0.499,152,33182.0,0.14676456278473174,11.0,4.0,55588,29072,86366,37104,17209,1,0.11,54313,172732,225339,0.35499403121519135,0.5060254519088931
2678,1826,4504,1,1,12684,13116.0,25439,1013.5,12.52,0.8712871287128713,0.019801980198019802,0.10891089108910891,0.536,0.464,29,2446.0,0.19279577520296368,14.3,6.0,3032,926,3935,2703,2088,2,0.13,4791,7870,12684,0.3550930305897193,0.594582593250444
490,422,912,1,1,2397,19356.0,30053,1781.5,1.34,0.96,0.0,0.04,0.509,0.491,11,495.0,0.20659432387312188,11.6,1.0,775,121,742,383,376,2,0.04,759,1484,2397,0.3804755944931164,0.5372807017543859
1923,1140,3063,1,1,7619,17826.0,41111,395.5,19.29,0.96,0.0,0.04,0.519,0.481,10,324.0,0.0424695241840346,9.5,3.0,2058,340,3119,1558,544,2,0.04,2102,6238,7619,0.40202126263289145,0.6278158667972575
1063,1343,2406,0,1,7453,9534.0,17155,1287.3,5.8,0.39,0.0,0.61,0.497,0.503,19,154.0,0.020610278372591006,33.9,11.0,2694,434,1918,1364,1043,2,0.61,2407,3836,7453,0.3228230242855226,0.44181213632585203
624,404,1028,1,1,3190,11705.0,15127,1227.0,2.59,0.22,0.0,0.78,0.5,0.5,2,9.0,0.002827521206409048,34.6,10.0,945,214,827,685,519,2,0.78,1204,1654,3190,0.32225705329153603,0.6070038910505836
758,468,1226,1,1,3946,11946.0,18345,789.0,4.98,0.686868686868687,0.06060606060606061,0.25252525252525254,0.624,0.376,8,454.0,0.11558044806517312,23.8,3.0,859,325,1495,692,575,2,0.31,1267,2990,3946,0.31069437404967054,0.6182707993474714
565,403,968,1,1,1926,14913.0,23919,738.9,2.63,0.9504950495049505,0.0,0.04950495049504951,0.501,0.499,6,306.0,0.1574074074074074,18.4,4.0,538,49,540,515,284,2,0.05,799,1080,1926,0.5025960539979232,0.5836776859504132
3645,3918,7563,0,1,20980,12769.0,22197,1142.2,18.43,0.9,0.0,0.1,0.493,0.507,52,4045.0,0.19218891053356774,17.8,6.0,5393,999,5304,4593,4691,2,0.1,9284,10608,20980,0.36048617731172544,0.481951606505355
72984,57335,130319,1,1,467610,23200.0,32038,153.3,3046.53,0.6161616161616161,0.12121212121212122,0.26262626262626265,0.487,0.513,323,83631.0,0.17906871677161998,17.1,5.0,108209,40550,173309,80737,64805,1,0.38,145542,346618,467610,0.2786916447466906,0.5600411298429239
322,320,642,1,1,1504,14205.0,24671,1067.0,1.41,0.94,0.0,0.06,0.508,0.492,7,378.0,0.250996015936255,14.5,4.0,431,79,423,351,220,2,0.06,571,846,1504,0.42686170212765956,0.5015576323987538
11519,8261,19780,1,1,60391,24740.0,54244,840.2,73.32,0.95,0.01,0.04,0.502,0.498,42,5784.0,0.09389000714239334,3.2,3.0,19411,2706,25338,10412,2524,1,0.05,12936,50676,60391,0.32753224818267623,0.5823559150657229
3006,2064,5070,1,1,21928,21966.0,41183,1688.0,13.16,0.86,0.0,0.14,0.527,0.473,25,1179.0,0.053088976945244955,7.5,3.0,5825,1965,10768,2668,702,2,0.14,3370,21536,21928,0.23121123677489966,0.5928994082840237
2179,1205,3384,1,1,9646,17331.0,33932,1850.9,5.27,0.81,0.07,0.12,0.501,0.499,11,880.0,0.09013622861825259,10.4,4.0,3083,399,3627,1800,737,2,0.19,2537,7254,9646,0.3508189923284263,0.6439125295508275
58502,38892,97394,1,1,397014,17028.0,38193,2126.7,186.81,0.96,0.01,0.03,0.502,0.498,259,68222.0,0.1717170954434133,6.9,7.0,115224,42457,141834,65825,31674,1,0.04,97499,283668,397014,0.245316286075554,0.6006735527855925
6805,3683,10488,1,1,32273,12297.0,24350,1533.0,21.03,0.8712871287128713,0.0297029702970297,0.09900990099009901,0.519,0.481,46,6488.0,0.2012531794776351,16.1,6.0,7676,2057,9946,6532,6062,2,0.13,12594,19892,32273,0.3249775354011093,0.6488367658276125
4646,3744,8390,1,1,29974,16653.0,32377,2947.5,10.29,0.93,0.0,0.07,0.509,0.491,43,3473.0,0.11446934739617666,9.3,4.0,8678,2132,11138,5046,2980,2,0.07,8026,22276,29974,0.27990925468739575,0.5537544696066746
999,461,1460,1,1,3070,15505.0,36218,149.9,20.5,0.9405940594059405,0.009900990099009901,0.04950495049504951,0.529,0.471,3,185.0,0.060201757240481615,10.6,2.0,771,109,1361,609,220,2,0.06,829,2722,3070,0.4755700325732899,0.6842465753424658
2350,1440,3790,1,1,7966,16831.0,34072,1849.8,4.33,0.96,0.0,0.04,0.531,0.469,20,620.0,0.07740324594257178,9.3,3.0,2112,573,3237,1433,611,2,0.04,2044,6474,7966,0.4757720311323123,0.6200527704485488
1732,1498,3230,1,1,10273,13424.0,29533,3239.2,3.18,0.9405940594059405,0.009900990099009901,0.04950495049504951,0.53,0.47,12,800.0,0.07754943776657619,16.2,7.0,2438,2106,3577,1495,657,2,0.06,2152,7154,10273,0.3144164314221746,0.5362229102167183
236,177,413,1,1,467,17859.0,30125,1117.8,0.42,0.99,0.0,0.01,0.527,0.473,4,91.0,0.1948608137044968,13.9,2.0,87,21,176,124,59,2,0.01,183,352,467,0.8843683083511777,0.5714285714285714
1320,618,1938,1,1,6009,11262.0,18955,1590.9,3.76,0.5858585858585859,0.0,0.41414141414141414,0.487,0.513,16,735.0,0.12301255230125523,25.7,7.0,1623,290,1506,1328,1262,2,0.41,2590,3012,6009,0.3225162256615077,0.6811145510835913
431,269,700,1,1,1605,13888.0,23239,1613.3,0.99,0.91,0.0,0.09,0.533,0.467,3,71.0,0.044569993722536096,10.0,2.0,429,108,519,377,172,2,0.09,549,1038,1605,0.43613707165109034,0.6157142857142858
86173,64270,150443,1,1,438430,20986.0,44679,772.2,569.43,0.9,0.01,0.09,0.493,0.507,213,43287.0,0.09844442928293648,5.8,3.0,121829,31229,164166,85812,35394,1,0.1,121206,328332,438430,0.343140296056383,0.5727950120643699
472,413,885,1,1,1688,23888.0,26779,1771.1,0.95,0.96,0.0,0.04,0.488,0.512,6,444.0,0.2649164677804296,13.8,2.0,501,61,474,320,332,2,0.04,652,948,1688,0.5242890995260664,0.5333333333333333
1552,1464,3016,1,1,7140,19894.0,27648,2161.0,3.29,0.93,0.0,0.07,0.495,0.505,27,2756.0,0.38740511667135225,15.2,1.0,2169,342,2040,1434,1155,2,0.07,2589,4080,7140,0.42240896358543417,0.5145888594164456
1063,631,1694,1,1,6007,14419.0,30788,376.9,15.98,0.84,0.0,0.16,0.516,0.484,11,444.0,0.07370517928286853,15.7,6.0,1788,1001,1873,956,330,2,0.16,1286,3746,5948,0.28200432828366906,0.627508854781582
5386,4210,9596,1,1,32284,15922.0,28950,1692.1,19.18,0.75,0.0,0.25,0.504,0.496,46,4225.0,0.13016420715363997,12.3,5.0,8859,4027,10683,5495,3220,2,0.25,8715,21366,32284,0.29723702143476644,0.5612755314714465
30302,30300,60602,1,1,186136,17274.0,36931,2601.4,71.9,0.900990099009901,0.009900990099009901,0.0891089108910891,0.495,0.505,136,28260.0,0.15108017513752786,12.0,4.0,50174,23426,64919,29760,17857,1,0.1,47617,129838,186136,0.3255791464305669,0.500016501105574
2405,1348,3753,1,1,13765,11986.0,20844,4773.0,2.88,0.55,0.0,0.45,0.487,0.513,35,1177.0,0.08558755090168703,26.2,8.0,3725,983,3537,2792,2728,2,0.45,5520,7074,13765,0.2726480203414457,0.6408206767918998
1023,776,1799,1,1,4529,16445.0,24173,2586.3,1.75,0.97,0.0,0.03,0.49,0.51,23,1322.0,0.29280177187153933,17.9,2.0,1249,208,1244,946,882,2,0.03,1828,2488,4529,0.3972179289026275,0.5686492495831017
4102,2533,6635,1,1,17567,17449.0,26436,1838.6,9.52,0.92,0.0,0.08,0.488,0.512,36,4689.0,0.2678204249485949,14.9,3.0,4984,1247,5075,3517,2744,2,0.08,6261,10150,17567,0.3776968178971936,0.6182366239638282
15416,15418,30834,0,1,93145,15280.0,27637,3327.9,28.17,0.9090909090909092,0.0,0.09090909090909091,0.485,0.515,102,14847.0,0.1583460426820814,15.1,5.0,26363,6834,28512,17985,13451,1,0.09,31436,57024,93145,0.3310322615277256,0.4999675682687942
264,160,424,1,1,558,16199.0,22232,875.8,0.63,0.95,0.0,0.05,0.514,0.486,4,134.0,0.2427536231884058,13.1,6.0,129,16,191,138,84,2,0.05,222,382,558,0.7598566308243727,0.6226415094339622
1886,1320,3206,1,1,11357,15712.0,35577,4742.5,2.4,0.93,0.0,0.07,0.506,0.494,19,2046.0,0.17952092655962096,11.1,5.0,3835,627,3945,2031,919,2,0.07,2950,7890,11357,0.2822928590296733,0.5882719900187149
2363,2534,4897,0,1,18672,13673.0,25825,2036.9,9.19,0.8,0.0,0.2,0.487,0.513,38,3092.0,0.1652415562206071,20.2,7.0,6093,1077,5521,3667,2314,2,0.2,5981,11042,18672,0.26226435304198803,0.48254033081478453
4110,3978,8088,1,1,24423,14268.0,26804,2240.7,10.92,0.88,0.0,0.12,0.488,0.512,41,4890.0,0.19979570990806947,14.2,6.0,7002,1221,6908,5295,3997,2,0.12,9292,13816,24423,0.33116324775826067,0.5081602373887241
3832,2779,6611,1,1,21939,16381.0,27463,1285.5,17.06,0.81,0.0,0.19,0.49,0.51,41,6934.0,0.31621670923020795,16.0,4.0,6766,1448,6400,4002,3323,2,0.19,7325,12800,21939,0.3013355212179224,0.5796399939494782
3060,2046,5106,1,1,20185,13600.0,22239,1262.9,15.93,0.6237623762376238,0.009900990099009901,0.36633663366336633,0.482,0.518,52,4988.0,0.24787556527356755,23.9,7.0,6152,1259,5390,3935,3449,2,0.38,7384,10780,20185,0.2529601189001734,0.599294947121034
529,603,1132,0,1,2295,17066.0,30669,542.1,4.25,0.95,0.0,0.05,0.505,0.495,6,293.0,0.12711496746203904,9.6,9.0,590,79,725,602,299,2,0.05,901,1450,2295,0.4932461873638344,0.4673144876325088
1728,877,2605,1,1,7174,16961.0,35491,2200.8,3.28,0.9504950495049505,0.009900990099009901,0.039603960396039604,0.512,0.488,7,462.0,0.06401551891367604,9.4,3.0,2030,225,2862,1531,526,2,0.05,2057,5724,7174,0.3631168107053248,0.6633397312859884
976,954,1930,1,1,4189,19021.0,26051,687.7,6.09,0.96,0.0,0.04,0.472,0.528,16,1884.0,0.44953471725125266,14.1,1.0,1141,187,1099,883,879,2,0.04,1762,2198,4189,0.4607304846025304,0.505699481865285
1820,2017,3837,0,1,12661,28939.660000000036,52976,970.2,13.11,0.9494949494949495,0.0,0.05050505050505051,0.525,0.475,8,370.0,0.029097200377477195,6.3,5.0,2208,1051,6434,2411,557,2,0.05,2968,12868,12661,0.30305663059789906,0.47432890278863693
2280,1731,4011,1,1,13347,15333.0,23931,1640.5,8.12,0.76,0.0,0.24,0.488,0.512,38,4086.0,0.3068258616805587,21.0,5.0,4375,930,3914,2430,1698,2,0.24,4128,7828,13347,0.3005169701056417,0.5684367988032909
26991,14514,41505,1,1,123051,14180.0,25784,2388.8,51.51,0.61,0.02,0.37,0.484,0.516,121,16603.0,0.13492231179300482,20.2,7.0,34270,9550,36243,24311,18677,1,0.39,42988,72486,123051,0.33729916863739423,0.6503071919045899
1076,890,1966,1,1,5972,15118.0,34122,3221.2,1.87,0.95,0.0,0.05,0.508,0.492,17,895.0,0.14881942135018292,13.6,4.0,1889,449,1922,1143,569,2,0.05,1712,3844,5972,0.32920294708640324,0.5473041709053916
1807,1724,3531,1,1,10770,15326.0,21370,912.6,11.77,0.59,0.0,0.41,0.494,0.506,28,2200.0,0.2048035747533048,23.8,9.0,3417,654,3040,2095,1564,2,0.41,3659,6080,10770,0.32785515320334263,0.5117530444633248
2560,2240,4800,1,1,14088,21073.0,37050,2361.8,6.02,0.97,0.0,0.03,0.535,0.465,19,1268.0,0.08922037714607374,9.8,4.0,3727,1242,6269,2042,808,2,0.03,2850,12538,14088,0.34071550255536626,0.5333333333333333
839,726,1565,1,1,4619,11887.0,23569,3168.7,1.46,0.51,0.0,0.49,0.513,0.487,11,637.0,0.13725490196078433,30.6,11.0,1524,307,1414,799,575,2,0.49,1374,2828,4619,0.3388179259579996,0.5361022364217253
201,145,346,1,1,745,16235.0,28906,387.5,1.93,0.83,0.0,0.17,0.557,0.443,4,42.0,0.05614973262032086,12.9,7.0,233,41,293,130,48,2,0.17,178,586,745,0.46442953020134226,0.5809248554913294
821,650,1471,1,1,3653,18452.0,32708,1286.5,2.89,0.9696969696969697,0.0,0.030303030303030304,0.53,0.47,6,300.0,0.08055853920515575,11.4,5.0,856,283,1793,563,158,2,0.03,721,3586,3653,0.4026827265261429,0.5581237253569
690,511,1201,1,1,2690,17723.0,23569,548.3,4.88,0.9,0.0,0.1,0.487,0.513,11,1009.0,0.377196261682243,11.5,1.0,691,96,701,582,620,2,0.1,1202,1402,2690,0.44646840148698885,0.5745212323064113
2430,1739,4169,1,1,12881,21645.0,41450,608.2,21.48,0.96,0.0,0.04,0.544,0.456,11,900.0,0.06887579398484732,7.8,3.0,2759,1509,6678,1635,300,2,0.04,1935,13356,12881,0.32365499573014517,0.5828735907891581
3301,1384,4685,1,1,12468,16802.0,35370,557.1,22.51,0.96,0.0,0.04,0.508,0.492,13,1227.0,0.09783128687609631,10.1,4.0,3737,493,4891,2445,902,2,0.04,3347,9782,12468,0.3757619505935194,0.704589114194237
1249,851,2100,1,1,4812,19756.0,24351,2521.2,1.89,0.97,0.0,0.03,0.5,0.5,17,1380.0,0.2893081761006289,15.7,2.0,1347,234,1321,1061,849,2,0.03,1910,2642,4812,0.43640897755610975,0.5947619047619047
21442,15141,36583,1,1,131821,15353.0,30800,3992.8,33.06,0.7777777777777778,0.0,0.22222222222222224,0.494,0.506,139,21105.0,0.15990090008182561,15.4,5.0,39338,15067,41829,22133,13454,1,0.22,35587,83658,131821,0.2775202737044932,0.586119235710576
1952,1832,3784,1,1,8954,22370.0,26465,2366.1,3.77,0.96,0.0,0.04,0.489,0.511,27,2665.0,0.29876681614349776,13.3,2.0,2697,434,2511,1807,1505,2,0.04,3312,5022,8954,0.4226044226044226,0.5158562367864693
10623,4884,15507,1,1,57539,15494.0,22711,655.3,87.80558523,0.7928336727928337,0.1974304141974304,0.009735913009735914,0.475816403,0.525313266,58,7947.0,0.14,24.8,7.8,17750,5248,15814,11798,6929,1,0.207166327,18727,31628,57539,0.2695041623942022,0.6850454633391372
3442,1595,5037,1,1,23997,13530.0,23365,764.6,31.38503793,0.685772646,0.253157697,0.061069657,0.564153853,0.448472726,46,7020.0,0.33,26.2,8.5,6082,2112,8006,5047,2750,2,0.314227354,7797,16012,23997,0.20990123765470683,0.6833432598769109
11931,5929,17860,1,1,67648,20778.0,37334,291.6,231.9890261,0.731612484,0.246211617,0.022175899,0.49120447,0.510776372,40,9478.0,0.16,14.5,6.7,21132,6857,21483,12922,5254,1,0.268387516,18176,42966,67648,0.26401371807000945,0.6680291153415453
2510,1182,3692,1,1,22683,15726.0,26381,338.7,66.97077059,0.6358547126358548,0.3458961473458962,0.018249140018249142,0.485253273,0.516951021,17,3565.0,0.16,22.0,7.4,6963,2319,6451,4446,2504,2,0.364145287,6950,12902,22683,0.16276506634924834,0.6798483206933911
4069,1971,6040,1,1,40512,14369.0,20252,832.5,48.66306306,0.682813619,0.297805101,0.01938128,0.493088468,0.511428712,57,6600.0,0.17,30.1,9.4,11315,3802,11250,8379,5766,2,0.317186381,14145,22500,40512,0.1490916271721959,0.6736754966887417
3949,1364,5313,1,1,31628,16270.0,29618,1160.2,27.2608171,0.8148932801851066,0.16044268783955729,0.024664031975335964,0.503983812,0.498640445,58,13080.0,0.43,16.3,8.0,8899,3005,9395,6730,3599,2,0.18510672,10329,18790,31628,0.16798406475275074,0.7432712215320911
2069,821,2890,1,1,15905,15458.0,21503,810.7,19.61884791,0.530521154,0.46312944,0.006349406,0.476516819,0.525180761,42,9165.0,0.57,24.9,11.2,4335,1420,3904,3464,2782,2,0.469478846,6246,7808,15905,0.1817038667085822,0.715916955017301
9766,5021,14787,1,1,91958,19512.0,33216,838.5,109.6696482,0.744161763,0.215930474,0.039907763,0.483340221,0.519585028,82,33600.0,0.39,13.9,6.6,25708,9096,28439,19243,9472,1,0.255838237,28715,56878,91958,0.16080167032775833,0.6604449854602016
33673,18802,52475,1,1,244572,21607.0,28713,882.1,277.2610815,0.5605459650000001,0.42194080700000003,0.017513228000000002,0.466431153,0.536177486,212,112985.0,0.46,22.6,7.0,67367,22664,70160,50826,33555,1,0.43945403499999997,84381,140320,244572,0.21455849402221022,0.6416960457360648
37722,9442,47164,1,1,178175,19906.0,31618,1071.2,166.3321509,0.7355132052644867,0.24633865675366132,0.018148137981851862,0.485141013,0.51680651,150,52611.0,0.31,16.5,6.2,50015,17344,52673,37867,20276,1,0.264486795,58143,105346,178175,0.26470604742528414,0.7998049359681113
1757,752,2509,1,1,10188,15614.0,22808,529.5,19.2407932,0.784417623,0.195172211,0.020410166,0.487926973,0.512858265,27,4719.0,0.48,21.3,10.6,2864,882,2705,2291,1446,2,0.21558237700000002,3737,5410,10188,0.24627012171181784,0.7002789956157832
1289,386,1675,1,1,8723,16010.0,30649,1313.0,6.643564356,0.917010546,0.061210454,0.021779,0.518858191,0.522297375,17,1454.0,0.16,14.1,6.0,2532,753,2544,1885,1009,2,0.08298945399999999,2894,5088,8723,0.19202109366043793,0.7695522388059701
1295,824,2119,1,1,11109,15311.0,20376,703.7,15.78655677,0.7141442337141443,0.2776627352776628,0.008193031008193031,0.484292015,0.516338104,35,5309.0,0.48,29.0,11.7,3256,955,2974,2407,1517,2,0.285855766,3924,5948,11109,0.19074624178593932,0.61113732892874
2065,888,2953,1,1,17059,14844.0,21704,754.7,22.60368358,0.51146157,0.485020813,0.003517617,0.509760244,0.491353538,42,8632.0,0.5,27.5,10.0,4224,1657,4686,3591,2901,2,0.48853842999999997,6492,9372,17059,0.17310510580925026,0.6992888587876736
2328,1649,3977,1,1,20810,15622.0,21779,696.4,29.88225158,0.606777217,0.384811343,0.00841144,0.472609322,0.529553099,40,9353.0,0.45,27.8,12.6,6109,1834,5473,4640,2754,2,0.39322278299999996,7394,10946,20810,0.19111004324843825,0.5853658536585366
2501,1709,4210,1,1,24779,17323.0,22574,877.3,28.24461416,0.5176741180000001,0.46513598600000006,0.017189896000000003,0.475523629,0.527543484,64,11762.0,0.46,25.2,10.0,7124,2303,6691,5089,3572,2,0.482325882,8661,13382,24779,0.16990193308850235,0.5940617577197149
70150,35620,105770,1,1,395189,22892.0,33814,455.7,867.2130788,0.596160666,0.368962093,0.034877241,0.479056856,0.523255961,214,115402.0,0.3,17.5,5.3,104951,53038,124277,73955,38968,1,0.403839334,112923,248554,395189,0.26764408928386163,0.6632315401342536
944,425,1369,1,1,9103,14099.0,14340,421.5,21.59667853,0.3228251316771749,0.6641036903358964,0.013071177986928823,0.468856421,0.534878611,21,5227.0,0.54,48.6,17.3,3167,904,2087,1738,1207,2,0.677174869,2945,4174,9103,0.15038998132483797,0.6895544192841491
3251,1715,4966,1,1,20820,16308.0,25776,453.4,45.91971769,0.491715891,0.499447726,0.008836383,0.531700288,0.472766571,29,8219.0,0.43,22.8,7.7,5908,2109,6627,4028,2148,2,0.508284109,6176,13254,20820,0.23852065321805957,0.6546516310914217
4388,2354,6742,1,1,34121,14655.0,20868,664.3,51.36384164,0.709788057,0.280948612,0.009263331,0.480613112,0.521467718,34,5625.0,0.17,29.5,6.9,10464,3150,8868,7173,4466,2,0.29021194299999997,11639,17736,34121,0.19759092640895637,0.6508454464550578
3251,2182,5433,1,1,22062,14735.0,19724,623.4,35.38979788,0.658521104,0.3342703,0.007208596,0.472758589,0.529054483,54,13031.0,0.58,31.2,10.4,6590,2035,5466,4640,3331,2,0.34147889600000003,7971,10932,22062,0.24626053848245852,0.5983802687281429
1956,1139,3095,1,1,18584,14071.0,24055,645.1,28.80793675,0.8258623478258623,0.15869342915869342,0.01544422301544422,0.483318984,0.518241498,48,8327.0,0.48,21.7,10.6,5419,1671,5179,4008,2307,2,0.174137652,6315,10358,18584,0.1665411106328024,0.6319870759289176
7773,3304,11077,1,1,71548,17794.0,26672,575.2,124.3880389,0.649571455,0.315725451,0.034703094,0.484863309,0.521160619,39,10447.0,0.15,21.6,6.2,22362,7083,20502,13922,7679,2,0.350428545,21601,41004,71548,0.15481914239391736,0.7017242935812946
3909,2171,6080,1,1,31052,17798.0,25851,618.7,50.18910619,0.490755057,0.487694885,0.021550058,0.486989566,0.516391859,35,5758.0,0.19,24.5,9.4,8839,3329,9503,5998,3383,2,0.509244943,9381,19006,31052,0.19580059255442483,0.6429276315789474
2402,910,3312,1,1,15597,16498.0,25035,570.0,27.36315789,0.6776488683223512,0.3163258766836741,0.006025254993974746,0.476566006,0.524908636,47,8561.0,0.55,19.1,6.6,4236,1376,3925,3493,2567,2,0.322351132,6060,7850,15597,0.21234852856318523,0.7252415458937198
95335,18479,113814,1,1,453646,22719.0,34916,305.9,1482.987905,0.71584926,0.18632427,0.09782647,0.480222464,0.523934963,145,61423.0,0.14,14.9,5.3,116546,43638,144610,96063,52789,1,0.28415073999999996,148852,289220,453646,0.25088725570158227,0.8376386033352663
4193,1399,5592,1,1,31734,14523.0,24269,652.4,48.64193746,0.7839132622160868,0.20568582979431418,0.010400907989599095,0.48118737,0.520293691,40,6395.0,0.21,22.3,7.8,9484,2688,8559,6813,4190,2,0.216086738,11003,17118,31734,0.176214785403668,0.7498211731044349
15421,9115,24536,1,1,181414,22135.0,31681,269.9,672.1526491,0.7281176610000001,0.24093449900000002,0.030947840000000004,0.483672704,0.518449513,73,29923.0,0.18,15.8,4.5,50887,21098,59085,33854,16490,1,0.271882339,50344,118170,181414,0.13524865776621428,0.6285050537985002
10829,2788,13617,1,1,87464,17684.0,29478,1084.8,80.62684366,0.8170798641829202,0.13526895986473106,0.047651175952348836,0.488601024,0.513308333,48,8454.0,0.1,18.4,4.3,25124,10087,25810,17422,9021,2,0.182920136,26443,51620,87464,0.15568691118631667,0.7952559300873908
2617,1102,3719,1,1,13811,15197.0,25221,623.9,22.13656035,0.885766027,0.101557407,0.012676566,0.474476866,0.526102382,51,9978.0,0.73,17.3,6.0,3702,1130,3782,3143,2054,2,0.114233973,5197,7564,13811,0.26927811165013393,0.7036837859639689
5852,1889,7741,1,1,42067,18052.0,27351,471.4,89.23843869,0.56424767,0.41589785,0.01985448,0.485416122,0.517056125,54,18931.0,0.45,22.9,3.3,9660,10767,10074,7010,4556,2,0.43575233,11566,20148,42067,0.18401597451684218,0.7559746802738664
9720,4852,14572,1,1,82665,17859.0,34090,648.1,127.5497608,0.922811645,0.06131265,0.015875705,0.495155144,0.505159378,92,27126.0,0.38,13.5,7.7,25092,7691,26250,16576,7056,1,0.077188355,23632,52500,82665,0.17627774753523257,0.6670326653856712
1231,344,1575,1,1,13073,14691.0,18448,624.1,20.94696363,0.370152222,0.619674138,0.01017364,0.480302914,0.523368775,16,6382.0,0.51,36.9,13.0,4341,1244,3433,2451,1604,2,0.629847778,4055,6866,13073,0.12047731966648818,0.7815873015873016
4437,1744,6181,1,1,31830,15870.0,21423,794.3,40.07302027,0.559841679,0.434755293,0.005403028,0.470625196,0.53204524,67,15206.0,0.48,28.6,11.9,9486,2981,8182,6413,4768,2,0.44015832099999996,11181,16364,31830,0.19418787307571472,0.7178450088982365
4527,1948,6475,1,1,37260,15419.0,21728,1256.4,29.65616046,0.572928978,0.405232621,0.021838401,0.476006441,0.527536232,80,14692.0,0.4,28.0,7.9,10867,5425,9336,7059,4573,2,0.427071022,11632,18672,37260,0.1737788513150832,0.6991505791505791
84406,20902,105308,1,1,474051,22472.0,22285,180.6,2624.86711,0.309258845,0.636037275,0.05470388,0.467892695,0.542589299,262,117123.0,0.24,33.6,7.8,127441,54326,142290,90253,59741,1,0.690741155,149994,284580,474051,0.22214487470757366,0.8015155543738367
19473,6520,25993,1,1,146713,19466.0,27114,611.0,240.1194763,0.654216629,0.329088641,0.01669473,0.470864886,0.530655089,157,65910.0,0.46,23.0,6.4,42072,17854,41116,28947,16724,1,0.345783371,45671,82232,146713,0.17716903069257667,0.7491632362559151
3673,2274,5947,1,1,25845,18613.0,28734,844.6,30.60028416,0.684720439,0.247811369,0.067468192,0.506287483,0.498432966,25,4664.0,0.18,19.0,5.7,7813,2598,7784,5264,2386,1,0.315279561,7650,15568,25845,0.23010253433933062,0.6176223305868506
4379,2477,6856,1,1,23113,16727.0,25304,557.4,41.46573376,0.5562527045562526,0.4356122894356122,0.008135006008135005,0.480898196,0.520616103,24,4551.0,0.2,23.7,8.9,6759,2113,6469,4751,3021,2,0.443747295,7772,12938,23113,0.29662960238826636,0.6387106184364061
19792,11222,31014,1,1,126283,19447.0,25638,1322.7,95.47365238,0.677051401,0.298044248,0.024904351,0.475677645,0.526246605,194,51997.0,0.4,22.1,6.8,35408,12056,36479,26065,16275,1,0.322948599,42340,72958,126283,0.24559125139567478,0.6381634100728704
1151,574,1725,1,1,9698,15843.0,20079,388.6,24.95625322,0.58224193,0.410642467,0.007115603,0.471849866,0.52907816,23,4797.0,0.51,27.2,13.3,2937,878,2435,1968,1480,2,0.41775807000000004,3448,4870,9698,0.1778717261290988,0.6672463768115942
3126,952,4078,1,1,20829,15603.0,19708,558.5,37.29453894,0.607163434,0.384146341,0.008690225,0.469825724,0.533390945,58,12966.0,0.63,30.9,10.6,6302,1864,5369,4228,3066,2,0.392836566,7294,10738,20829,0.19578472322243026,0.7665522314860226
