FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
922,1688,2610,0,2,5620,14326.0,27354,819.0,6.862026862,0.92755429,0.001245995,0.071199715,0.500889996,0.499110004,18,1930.0,0.35,17.4,3.2,1844,315,1482,1043,936,2,0.07244571,1979,2964,5620,0.46441281138790036,0.35325670498084294
173,310,483,0,2,1792,9155.0,17180,470.6,3.807904802,0.232700893,0.0,0.767299107,0.528459821,0.471540179,6,111.0,0.06,28.9,9.2,811,166,432,262,121,2,0.767299107,383,864,1792,0.26953125,0.3581780538302277
1020,2648,3668,0,2,8372,12727.0,24954,2248.6,3.72320555,0.9487332700000001,0.0032265770000000004,0.04804015300000001,0.498924474,0.501075526,17,1593.0,0.2,15.4,4.5,2505,525,2428,1636,1278,2,0.05126673,2914,4856,8372,0.43812709030100333,0.2780806979280262
539,491,1030,1,2,1923,16552.0,23059,735.8,2.613481924,0.9823100930176899,0.006763787993236211,0.01092611898907388,0.504682622,0.495317378,12,1059.0,0.54,12.9,2.4,466,82,465,447,463,2,0.017689906999999998,910,930,1923,0.5356214248569943,0.5233009708737864
1407,2538,3945,0,2,9277,15690.0,22410,1098.3,8.44669034,0.769736842,0.00064711,0.229616048,0.492018982,0.507981018,37,2630.0,0.29,23.1,3.8,3043,549,2240,1800,1645,2,0.230263158,3445,4480,9277,0.4252452301390536,0.35665399239543727
859,1490,2349,0,2,4376,16191.0,23353,958.0,4.567849687,0.9922303479922303,0.001371115001371115,0.006398537006398537,0.503656307,0.496343693,28,2299.0,0.52,14.8,4.5,1246,202,1066,905,957,2,0.007769652,1862,2132,4376,0.5367915904936015,0.3656875266070668
1968,3915,5883,0,2,15238,12550.0,25608,411.6,37.02137998,0.943808376,0.004745405,0.051446219,0.488550768,0.511449232,27,3560.0,0.27,20.5,1.2,2714,6314,3164,1699,1347,2,0.056191624,3046,6328,15238,0.38607428796429977,0.33452320244773076
3370,7208,10578,0,2,23305,17768.0,29450,687.8,33.88339634,0.980520873019479,0.0009010169990989829,0.018578109981421887,0.4872785,0.5127215,41,8342.0,0.37,10.9,3.6,6806,1971,6764,4056,3708,2,0.019479127,7764,13528,23305,0.4538940141600515,0.31858574399697487
380,828,1208,0,2,4224,10146.0,18692,2473.1,1.707977842,0.5045002364954997,0.00023685499976314498,0.49526290850473703,0.507579346,0.492420654,30,1515.0,0.36,34.5,23.0,1614,280,976,772,582,2,0.49549976399999995,1354,1952,4224,0.2859848484848485,0.31456953642384106
1050,2260,3310,0,2,6348,15901.0,27700,1557.8,4.074977532,0.959968479,0.002364066,0.037667455,0.502915682,0.497084318,15,1264.0,0.2,12.4,3.3,1790,316,1906,1412,924,2,0.040031521,2336,3812,6348,0.5214240705734089,0.31722054380664655
